Link,Price,Model,Make,Year,Mileage,Steering Side,Seller Name,Trim,Regional Specs,Warranty,Exterior Color,Body Collection,Body Type,Mechanical Condition,Cylinder,Transmission Type,Horsepower,Fuel Type,Description
https://dubai.dubizzle.com/motors/used-cars/land-rover/defender/2023/6/15/2022-land-rocer-defender-110x-p525-warrant-2-871---fcf114879d6040d5b0440dd86f49569b//,"569,000 ",Defender,Land Rover,2022,"1,400 km",Left Hand,Sun City Motors,110 X,European Specs,Yes,Black,Perfect inside and out,SUV,Perfect inside and out,8,Automatic Transmission,500 - 600 HP,Petrol,"['Ref. No. SCM234528 ', 'With over 25 years of experience in the UAE automotive market, Sun City Motors has been an epitome of quality cars, customer service and after sales. ']"
https://dubai.dubizzle.com/motors/used-cars/jetour/x70/2023/6/20/brand-new-2024-jetour-x70-fl-7-seater-5-ye-2-544---88ad49c8711a43eb85484a72d4b36f9d//,"73,000 ",X70,Jetour,2024,8 km,Left Hand,Sun City Motors,FL,GCC Specs,Yes,White,Perfect inside and out,SUV,Perfect inside and out,4,Automatic Transmission,100 - 200 HP,Petrol,"['Jetour is exclusively partnered with The Elite Cars for the UAE. ', 'This exclusive partnership brings over 25 years of combined formidable experience in the automotive industry and remarkable global market performance, therefore bringing quality and  ']"
https://dubai.dubizzle.com/motors/used-cars/bentley/mulsanne/2023/7/10/2017-bentley-mulsanne-mulliner-ii-68l-v8-t-2-052---5e47e5d69cfd4895925f3d01f2af2fd9//,"849,000 ",Mulsanne,Bentley,2017,"17,000 km",Left Hand,Sun City Motors,Standard,GCC Specs,Yes,Silver,Perfect inside and out,Sedan,Perfect inside and out,8,Automatic Transmission,500 - 600 HP,Petrol,"['Ref. No. SCM234319 ', 'With over 25 years of experience in the UAE automotive market, Sun City Motors has been an epitome of quality cars, customer service and after sales. ']"
https://dubai.dubizzle.com/motors/used-cars/porsche/carrera/2023/7/18/2020-911-carerra-turbo-s-25000-km-warranty-2-444---dd1646897eec4ade964be536b69f1190//,"779,000 ",Carrera / 911,Porsche,2020,"25,000 km",Left Hand,Sun City Motors,Turbo S,GCC Specs,Yes,White,Perfect inside and out,Coupe,Perfect inside and out,6,Automatic Transmission,600 - 700 HP,Petrol,"['Ref. No. SCM234563 ', 'With over 25 years of experience in the UAE automotive market, Sun City Motors has been an epitome of quality cars, customer service and after sales. ']"
https://dubai.dubizzle.com/motors/used-cars/land-rover/range-rover-sport/2023/7/30/2020-range-rover-sport-p525-hse-dynamic-50-2-183---da6b42e4f0964342927f2b455c7a195b//,"369,000 ",Range Rover Sport,Land Rover,2020,"40,000 km",Left Hand,Sun City Motors,HSE Dynamic,GCC Specs,Yes,Grey,Perfect inside and out,SUV,Perfect inside and out,8,Automatic Transmission,500 - 600 HP,Petrol,"['Ref. No. SCM234565 ', 'With over 25 years of experience in the UAE automotive market, Sun City Motors has been an epitome of quality cars, customer service and after sales. ']"
https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/gle-coupe/2023/7/30/2021-mercedes-gle-53-amg-coupe-only-14000--2-721---8b4c0db3051c4efb9ea73d7ceffcec32//,"465,000 ",GLE Coupe,Mercedes-Benz,2022,"14,000 km",Left Hand,Car Vault,GLE 53 AMG,GCC Specs,Yes,White,Perfect inside and out,SUV,Perfect inside and out,6,Automatic Transmission,400 - 500 HP,Petrol,"['Ref. No. SCM234566 ', 'With over 25 years of experience in the UAE automotive market, Sun City Motors has been an epitome of quality cars, customer service and after sales. ']"
https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/s-class/2023/8/9/2023-mercedes-benz-s580-4matic-2-951---56f5bb99af774132a61d259bed467e53//,"599,000 ",S-Class,Mercedes-Benz,2023,"1,958 km",Left Hand,dubizzle cars,S 580,European Specs,Does not apply,Black,Perfect inside and out,Sedan,Perfect inside and out,8,Automatic Transmission,400 - 500 HP,Petrol,"['A decade of experience in Luxury car selling and buying. Every model for sale has been delivered to the highest level of quality standards. ', ' DESCRIPTION ']"
https://dubai.dubizzle.com/motors/used-cars/bmw/5-series/2023/6/26/aed3031month-2022-bmw-520i-20l-warranty-se-2-948---6e539ee9add546e19d1d9000e8a6e1f3//,"188,900 ",5-Series,BMW,2022,"21,135 km",Left Hand,dubizzle cars,520i,GCC Specs,Yes,Grey,Perfect inside and out,Sedan,Perfect inside and out,4,Automatic Transmission,100 - 200 HP,Petrol,"['Reference number: 75002 ', 'Starting from AED 2870 per month ']"
https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/s-class/2023/8/7/mercedes-benz-s560-amg-kit-2020-gcc-under--2-339---d845eb08b513423688eea10190514434//,"369,000 ",S-Class,Mercedes-Benz,2020,"41,000 km",Left Hand,Drive to Deliver Motors Used Luxury Automobiles Trading L.L.C,S 560 4MATIC,GCC Specs,Yes,White,Perfect inside and out,Sedan,Perfect inside and out,6,Automatic Transmission,400 - 500 HP,Petrol,"['Under warranty From Agency  ', 'Free Service From Agency  ']"
https://dubai.dubizzle.com/motors/used-cars/bmw/x5/2023/7/24/aed-4999month-bmw-x5-40i-m-sport-warranty--2-038---320937ef745c4d689d1ce76da6b4dc4e//,"329,000 ",X5,BMW,2022,"27,000 km",Left Hand,VESLA MOTORS,40i M-Kit,GCC Specs,Yes,Grey,Perfect inside and out,SUV,Perfect inside and out,6,Automatic Transmission,300 - 400 HP,Petrol,"['AED 4,999/MONTH | BMW X5 40i M-SPORT | WARRANTY | SERVICE CONTRACT | FULL BMW HISTORY | GCC ', '—————————————- ']"
